rk,name,gp,passing_cmp,passing_att,passing_cmp%,passing_yds,passing_pass avg,passing_td,passing_int,passing_rating,rushing_att,rushing_yds,rushing_avg,rushing_td,fpts/g
1,Lamar Jackson,17,316,474,66.7,4172,8.8,41,4,119.6,139,915,6.6,4,25.3
2,Josh Allen,17,307,483,63.6,3731,7.7,28,6,101.4,102,531,5.2,12,22.3
3,Joe Burrow,17,460,652,70.6,4918,7.5,43,9,108.5,42,201,4.8,2,21.9
4,Baker Mayfield,17,407,570,71.4,4500,7.9,41,16,106.8,60,378,6.3,3,21.5
5,Jayden Daniels,17,331,480,69,3568,7.4,25,9,100.1,148,891,6,6,20.9
6,Jared Goff,17,390,539,72.4,4629,8.6,37,12,111.8,35,56,1.6,0,19.1
7,Bo Nix,17,376,567,66.3,3775,6.7,29,12,93.3,92,430,4.7,4,18.7
8,Jalen Hurts,15,248,361,68.7,2903,8,18,5,103.7,150,630,4.2,14,21
9,Sam Darnold,17,361,545,66.2,4319,7.9,35,12,102.5,67,212,3.2,1,18.1
10,Kyler Murray,17,372,541,68.8,3851,7.1,21,11,93.5,78,572,7.3,5,17.5
11,Justin Herbert,17,332,504,65.9,3870,7.7,23,3,101.7,69,306,4.4,2,16.8
12,Patrick Mahomes,16,392,581,67.5,3928,6.8,26,11,93.5,58,307,5.3,2,17.7
13,Brock Purdy,15,300,455,65.9,3864,8.5,20,12,96.1,66,323,4.9,5,17.8
14,Geno Smith,17,407,578,70.4,4320,7.5,21,15,93.2,53,272,5.1,2,15.6
15,Aaron Rodgers,17,368,584,63,3897,6.7,28,11,90.5,22,107,4.9,0,15.1
16,Caleb Williams,17,351,562,62.5,3541,6.3,20,6,87.8,81,489,6,0,15
17,Jordan Love,15,268,425,63.1,3389,8,25,11,96.7,25,83,3.3,1,15.6
18,C.J. Stroud,17,336,532,63.2,3727,7,20,12,87,52,233,4.5,0,13
19,Matthew Stafford,16,340,517,65.8,3762,7.3,20,8,93.7,30,41,1.4,0,13.4
20,Bryce Young,14,234,384,60.9,2403,6.3,15,9,82.2,43,249,5.8,6,13.9
21,Tua Tagovailoa,11,291,399,72.9,2867,7.2,19,7,101.4,17,49,2.9,0,16.5
22,Drake Maye,13,225,338,66.6,2276,6.7,15,10,88.1,54,421,7.8,2,13.6
23,Kirk Cousins,14,303,453,66.9,3508,7.7,18,16,88.6,23,0,0,0,12.6
24,Russell Wilson,11,214,336,63.7,2482,7.4,16,5,95.6,43,155,3.6,2,15.7
25,Anthony Richardson,11,126,264,47.7,1814,6.9,8,12,61.6,86,499,5.8,6,14.9
26,Derek Carr,10,189,279,67.7,2145,7.7,15,5,101,17,71,4.2,1,15.1
27,Trevor Lawrence,10,172,284,60.6,2045,7.2,11,7,85.2,26,119,4.6,3,14.5
28,Daniel Jones,10,216,341,63.3,2070,6.1,8,7,79.4,67,265,4,2,13.5
29,Jameis Winston,12,181,296,61.1,2121,7.2,13,12,80.6,25,83,3.3,1,10.9
30,Will Levis,12,190,301,63.1,2091,6.9,13,12,81.4,45,183,4.1,0,10
31,Justin Fields,10,106,161,65.8,1106,6.9,5,1,93.3,62,289,4.7,5,11.9
32,Dak Prescott,8,185,286,64.7,1978,6.9,11,8,86,13,54,4.2,1,14.6
33,Cooper Rush,12,187,308,60.7,1844,6,12,5,83.8,26,18,0.7,0,9.1
34,Taysom Hill,8,2,4,50,21,5.2,0,1,26,39,278,7.1,6,12.8
35,Joe Flacco,8,162,248,65.3,1761,7.1,12,7,90.5,9,26,2.9,0,12.4
36,Gardner Minshew II,10,203,306,66.3,2013,6.6,9,10,81,19,58,3.1,0,9.6
37,Mac Jones,10,171,262,65.3,1672,6.4,8,8,80.5,28,92,3.3,1,9.6
38,Mason Rudolph,8,146,228,64,1530,6.7,9,9,80.1,25,106,4.2,1,12
39,Aidan O'Connell,9,154,243,63.4,1612,6.6,8,4,86.7,21,30,1.4,1,10.4
40,Drew Lock,8,107,181,59.1,1071,5.9,6,5,75.5,18,133,7.4,2,10
41,Deshaun Watson,7,137,216,63.4,1148,5.3,5,3,79,31,148,4.8,1,11
42,Spencer Rattler,7,130,228,57,1317,5.8,4,5,70.4,18,146,8.1,0,9.6
43,Tyler Huntley,5,86,133,64.7,829,6.2,3,3,80.1,26,135,5.2,2,12.1
44,Andy Dalton,6,106,160,66.2,989,6.2,7,6,82,11,34,3.1,0,9.8
45,Malik Willis,7,40,54,74.1,550,10.2,3,0,124.8,20,138,6.9,1,7.4
46,Marcus Mariota,3,34,44,77.3,364,8.3,4,0,131.2,18,92,5.1,1,15.3
47,Jacoby Brissett,8,95,161,59,826,5.1,2,1,74.2,15,62,4.1,0,5.7
48,Michael Penix Jr.,5,61,105,58.1,775,7.4,3,3,78.9,7,11,1.6,1,8.8
49,Joshua Dobbs,2,32,47,68.1,361,7.7,2,2,87.3,9,24,2.7,2,15.4
50,Tanner McKee,2,30,45,66.7,323,7.2,4,0,117.2,5,-1,-0.2,0,14.4
51,Kenny Pickett,5,25,42,59.5,291,6.9,2,1,86.5,9,15,1.7,1,5
52,Desmond Ridder,5,52,85,61.2,458,5.4,2,2,73.5,9,36,4,0,4.4
53,Tyrod Taylor,2,17,22,77.3,119,5.4,3,0,128.6,3,13,4.3,0,10
54,Jimmy Garoppolo,1,27,41,65.9,334,8.1,2,1,97,2,5,2.5,0,19.9
55,Joe Milton III,1,22,29,75.9,241,8.3,1,0,111.4,10,16,1.6,1,19.2
56,Dorian Thompson-Robinson,7,61,118,51.7,440,3.7,0,6,39.5,21,122,5.8,0,2.3
57,Mitchell Trubisky,9,19,26,73.1,179,6.9,2,0,117.3,17,1,0.1,0,1.7
58,Tim Boyle,3,27,50,54,276,5.5,1,1,68.4,3,9,3,0,4.6
59,Tommy DeVito,3,31,44,70.5,257,5.8,0,0,85.1,8,32,4,0,4.5
60,Jake Haener,8,18,39,46.2,226,5.8,1,1,62.5,11,22,2,0,1.7
61,Trey Lance,4,25,41,61,266,6.5,0,1,69.8,11,41,3.7,0,3.2
62,Davis Mills,4,20,36,55.6,212,5.9,0,0,72.9,3,11,3.7,0,2.4
63,Skylar Thompson,3,21,33,63.6,187,5.7,0,0,78.7,1,4,4,0,2.6
64,Bailey Zappe,1,16,31,51.6,170,5.5,1,2,51.8,2,2,1,0,7
65,Brandon Allen,3,17,30,56.7,199,6.6,1,2,60.3,3,4,1.3,0,2.1
66,Carson Wentz,3,12,19,63.2,118,6.2,0,0,80.6,3,0,0,0,1.6
67,Taylor Heinicke,4,3,5,60,28,5.6,0,0,75.4,2,20,10,0,0.8
68,Hendon Hooker,3,6,9,66.7,62,6.9,0,0,86.3,5,2,0.4,0,0.9
69,Nick Mullens,4,2,2,100,38,19,0,0,118.8,3,-2,-0.7,0,0.3
70,Mike White,1,3,11,27.3,28,2.5,0,0,39.6,0,0,0,0,1.1
71,Josh Johnson,6,2,3,66.7,17,5.7,0,0,81.2,4,1,0.2,0,0.1
72,Kyle Allen,1,1,1,100,19,19,0,0,118.8,0,0,0,0,0.8
73,Chris Oladokun,1,0,0,0,0,0,0,0,0,1,5,5,0,0.5
74,Jarrett Stidham,3,0,0,0,0,0,0,0,0,4,5,1.2,0,0.2
75,Jeff Driskel,2,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Stetson Bennett,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Austin Reed,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Sam Hartman,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Jake Browning,3,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.1
80,Kyle Trask,4,1,1,100,5,5,0,0,87.5,5,-4,-0.8,0,-0.1
81,Tyson Bagent,4,2,2,100,11,5.5,0,0,89.6,6,-7,-1.2,0,-0.1
82,Sam Howell,3,5,14,35.7,24,1.7,0,1,14.6,1,2,2,0,-0.3
83,Clayton Tune,6,2,2,100,8,4,0,0,83.3,7,-4,-0.6,0,-0.3
